Size (sq ft),Price ($)
1360,227969
1794,262101
1630,271052
1595,213147
2138,338848
2669,373833
966,143455
1738,227859
830,154577
1982,283220
2635,437317
3419,529971
630,113979
2185,367225
1269,159807
2891,450207
2015,329439
3353,531903
2933,442945
1715,248007
1455,177942
2824,419358
1684,275009
959,165061
521,93847
2800,407065
1247,229143
3404,559899
974,128706
1582,198834
3058,503363
2547,372447
3247,528437
1475,172266
2306,385689
689,108941
3234,524912
1062,132547
2399,334150
1767,289115
3379,539648
2028,263468
1146,208707
2568,347385
3388,521904
2714,443879
1797,258649
2935,398821
1100,153044
2863,430664
